x,f(x)
1769,1.366627303719609
1770,1.366578693318268
1771,1.366530058890085
1772,1.366481400412372
1773,1.366432717862411
1774,1.366384011217452
1775,1.366335280454713
1776,1.366286525551379
1777,1.366237746484606
1778,1.366188943231517
1779,1.366140115769201
1780,1.366091264074720
1781,1.366042388125098
1782,1.365993487897332
1783,1.365944563368383
1784,1.365895614515184
1785,1.365846641314632
1786,1.365797643743593
1787,1.365748621778901
1788,1.365699575397358
1789,1.365650504575733
1790,1.365601409290762
1791,1.365552289519149
1792,1.365503145237564
1793,1.365453976422648
1794,1.365404783051004
1795,1.365355565099207
1796,1.365306322543796
1797,1.365257055361279
1798,1.365207763528129
1799,1.365158447020788
1800,1.365109105815663
1801,1.365059739889128
1802,1.365010349217527
1803,1.364960933777166
1804,1.364911493544320
1805,1.364862028495230
1806,1.364812538606105
1807,1.364763023853119
1808,1.364713484212412
1809,1.364663919660091
1810,1.364614330172229
1811,1.364564715724865
1812,1.364515076294006
1813,1.364465411855623
1814,1.364415722385653
1815,1.364366007859999
1816,1.364316268254531
1817,1.364266503545084
1818,1.364216713707459
1819,1.364166898717423
1820,1.364117058550707
1821,1.364067193183010
1822,1.364017302589994
1823,1.363967386747289
1824,1.363917445630487
1825,1.363867479215150
1826,1.363817487476799
1827,1.363767470390927
1828,1.363717427932986
1829,1.363667360078398
1830,1.363617266802546
1831,1.363567148080781
1832,1.363517003888417
1833,1.363466834200733
1834,1.363416638992972
1835,1.363366418240344
1836,1.363316171918022
1837,1.363265900001143
1838,1.363215602464809
1839,1.363165279284087
1840,1.363114930434008
1841,1.363064555889565
1842,1.363014155625719
1843,1.362963729617393
1844,1.362913277839473
1845,1.362862800266811
1846,1.362812296874222
1847,1.362761767636485
1848,1.362711212528343
1849,1.362660631524501
1850,1.362610024599630
1851,1.362559391728364
1852,1.362508732885298
1853,1.362458048044994
1854,1.362407337181975
1855,1.362356600270728
1856,1.362305837285704
1857,1.362255048201315
1858,1.362204232991938
1859,1.362153391631913
1860,1.362102524095540
1861,1.362051630357087
1862,1.362000710390780
1863,1.361949764170810
1864,1.361898791671330
1865,1.361847792866457
1866,1.361796767730267
1867,1.361745716236803
1868,1.361694638360067
1869,1.361643534074023
1870,1.361592403352601
1871,1.361541246169689
1872,1.361490062499139
1873,1.361438852314765
1874,1.361387615590342
1875,1.361336352299608
1876,1.361285062416262
1877,1.361233745913965
1878,1.361182402766339
1879,1.361131032946969
1880,1.361079636429399
1881,1.361028213187138
1882,1.360976763193652
1883,1.360925286422372
1884,1.360873782846687
1885,1.360822252439951
1886,1.360770695175475
1887,1.360719111026534
1888,1.360667499966362
1889,1.360615861968154
1890,1.360564197005067
1891,1.360512505050216
1892,1.360460786076681
1893,1.360409040057497
1894,1.360357266965665
1895,1.360305466774141
1896,1.360253639455845
1897,1.360201784983657
1898,1.360149903330414
1899,1.360097994468917
1900,1.360046058371924
1901,1.359994095012155
1902,1.359942104362287
1903,1.359890086394961
1904,1.359838041082773
1905,1.359785968398281
1906,1.359733868314004
1907,1.359681740802417
1908,1.359629585835956
1909,1.359577403387016
1910,1.359525193427952
1911,1.359472955931077
1912,1.359420690868664
1913,1.359368398212943
1914,1.359316077936106
1915,1.359263730010301
1916,1.359211354407636
1917,1.359158951100177
1918,1.359106520059949
1919,1.359054061258934
1920,1.359001574669076
1921,1.358949060262272
1922,1.358896518010383
1923,1.358843947885223
1924,1.358791349858567
1925,1.358738723902148
1926,1.358686069987654
1927,1.358633388086735
1928,1.358580678170995
1929,1.358527940211998
1930,1.358475174181264
1931,1.358422380050271
1932,1.358369557790456
1933,1.358316707373211
1934,1.358263828769885
1935,1.358210921951786
1936,1.358157986890179
1937,1.358105023556283
1938,1.358052031921277
1939,1.357999011956297
1940,1.357945963632432
1941,1.357892886920732
1942,1.357839781792200
1943,1.357786648217798
1944,1.357733486168443
1945,1.357680295615009
1946,1.357627076528324
1947,1.357573828879177
1948,1.357520552638307
1949,1.357467247776412
1950,1.357413914264147
1951,1.357360552072121
1952,1.357307161170898
1953,1.357253741531000
1954,1.357200293122901
1955,1.357146815917033
1956,1.357093309883784
1957,1.357039774993494
1958,1.356986211216461
1959,1.356932618522938
1960,1.356878996883129
1961,1.356825346267199
1962,1.356771666645262
1963,1.356717957987391
1964,1.356664220263610
1965,1.356610453443901
1966,1.356556657498198
1967,1.356502832396390
1968,1.356448978108319
1969,1.356395094603784
1970,1.356341181852535
1971,1.356287239824278
1972,1.356233268488672
1973,1.356179267815330
1974,1.356125237773818
1975,1.356071178333655
1976,1.356017089464317
1977,1.355962971135228
1978,1.355908823315771
1979,1.355854645975277
1980,1.355800439083033
1981,1.355746202608280
1982,1.355691936520208
1983,1.355637640787964
1984,1.355583315380644
1985,1.355528960267300
1986,1.355474575416934
1987,1.355420160798503
1988,1.355365716380912
1989,1.355311242133023
1990,1.355256738023648
1991,1.355202204021550
1992,1.355147640095446
1993,1.355093046214003
1994,1.355038422345842
1995,1.354983768459533
1996,1.354929084523599
1997,1.354874370506515
1998,1.354819626376706
1999,1.354764852102550
2000,1.354710047652373
2001,1.354655212994456
2002,1.354600348097027
2003,1.354545452928269
2004,1.354490527456313
2005,1.354435571649241
2006,1.354380585475085
2007,1.354325568901830
2008,1.354270521897409
2009,1.354215444429705
2010,1.354160336466553
2011,1.354105197975737
2012,1.354050028924990
2013,1.353994829281998
2014,1.353939599014392
2015,1.353884338089757
2016,1.353829046475625
2017,1.353773724139478
2018,1.353718371048749
2019,1.353662987170816
2020,1.353607572473011
2021,1.353552126922613
2022,1.353496650486848
2023,1.353441143132894
2024,1.353385604827875
2025,1.353330035538866
2026,1.353274435232888
2027,1.353218803876913
2028,1.353163141437859
2029,1.353107447882594
2030,1.353051723177932
2031,1.352995967290636
2032,1.352940180187419
2033,1.352884361834937
2034,1.352828512199798
2035,1.352772631248555
2036,1.352716718947709
2037,1.352660775263709
2038,1.352604800162951
2039,1.352548793611777
2040,1.352492755576477
2041,1.352436686023287
2042,1.352380584918391
2043,1.352324452227919
2044,1.352268287917948
2045,1.352212091954499
2046,1.352155864303542
2047,1.352099604930993
2048,1.352043313802714
2049,1.351986990884511
2050,1.351930636142137
2051,1.351874249541292
2052,1.351817831047620
2053,1.351761380626712
2054,1.351704898244103
2055,1.351648383865274
2056,1.351591837455650
2057,1.351535258980603
2058,1.351478648405449
2059,1.351422005695448
2060,1.351365330815806
2061,1.351308623731673
2062,1.351251884408144
2063,1.351195112810258
2064,1.351138308902996
2065,1.351081472651288
2066,1.351024604020004
2067,1.350967702973959
2068,1.350910769477913
2069,1.350853803496567
2070,1.350796804994569
2071,1.350739773936506
2072,1.350682710286913
2073,1.350625614010266
2074,1.350568485070982
2075,1.350511323433425
2076,1.350454129061899
2077,1.350396901920651
2078,1.350339641973872
2079,1.350282349185694
2080,1.350225023520192
2081,1.350167664941383
2082,1.350110273413226
2083,1.350052848899621
2084,1.349995391364413
2085,1.349937900771385
2086,1.349880377084264
2087,1.349822820266717
2088,1.349765230282354
2089,1.349707607094723
2090,1.349649950667318
2091,1.349592260963570
2092,1.349534537946852
2093,1.349476781580478
2094,1.349418991827703
2095,1.349361168651720
2096,1.349303312015666
