Iteration,log_10 Error
651.000000,1.806530
652.000000,1.805595
653.000000,1.805125
654.000000,1.804520
655.000000,1.803897
656.000000,1.802632
657.000000,1.802272
658.000000,1.801550
659.000000,1.801087
660.000000,1.799661
661.000000,1.799310
662.000000,1.798577
663.000000,1.797992
664.000000,1.796682
665.000000,1.796227
666.000000,1.795600
667.000000,1.794681
668.000000,1.793698
669.000000,1.793330
670.000000,1.791799
671.000000,1.791327
672.000000,1.790715
673.000000,1.790045
674.000000,1.787146
675.000000,1.786909
676.000000,1.786044
677.000000,1.785125
678.000000,1.784134
679.000000,1.783277
680.000000,1.782223
681.000000,1.781346
682.000000,1.780311
683.000000,1.779334
684.000000,1.778398
685.000000,1.777593
686.000000,1.774803
687.000000,1.774243
688.000000,1.773955
689.000000,1.773294
690.000000,1.771447
691.000000,1.766293
692.000000,1.765746
693.000000,1.765427
694.000000,1.765139
695.000000,1.764355
696.000000,1.760811
697.000000,1.757335
698.000000,1.756183
699.000000,1.753717
700.000000,1.751100
701.000000,1.746688
702.000000,1.742394
703.000000,1.732791
704.000000,1.729401
705.000000,1.705150
706.000000,1.704674
707.000000,1.704504
708.000000,1.703824
709.000000,1.703224
710.000000,1.702680
711.000000,1.702175
712.000000,1.701696
713.000000,1.701477
714.000000,1.700797
715.000000,1.700204
716.000000,1.699669
717.000000,1.699172
718.000000,1.698701
719.000000,1.698330
720.000000,1.697698
721.000000,1.697141
722.000000,1.696633
723.000000,1.696156
724.000000,1.695790
725.000000,1.695144
726.000000,1.694583
727.000000,1.694075
728.000000,1.693600
729.000000,1.693172
730.000000,1.692545
731.000000,1.691999
732.000000,1.691502
733.000000,1.691202
734.000000,1.690502
735.000000,1.689917
736.000000,1.689400
737.000000,1.689201
738.000000,1.688438
739.000000,1.687821
740.000000,1.687289
741.000000,1.686804
742.000000,1.686340
743.000000,1.685706
744.000000,1.685167
745.000000,1.684680
746.000000,1.684200
747.000000,1.683568
748.000000,1.683033
749.000000,1.682797
750.000000,1.682018
751.000000,1.681408
752.000000,1.680887
753.000000,1.680532
754.000000,1.679812
755.000000,1.679238
756.000000,1.678739
757.000000,1.678249
758.000000,1.677603
759.000000,1.677070
760.000000,1.676711
761.000000,1.675977
762.000000,1.675403
763.000000,1.675187
764.000000,1.674354
765.000000,1.673737
766.000000,1.673222
767.000000,1.672729
768.000000,1.672068
769.000000,1.671536
770.000000,1.671089
771.000000,1.670392
772.000000,1.669845
773.000000,1.669425
774.000000,1.668703
775.000000,1.668149
776.000000,1.667730
777.000000,1.667002
778.000000,1.666447
779.000000,1.666006
780.000000,1.665287
781.000000,1.664740
782.000000,1.664255
783.000000,1.663563
784.000000,1.663029
785.000000,1.662486
786.000000,1.661832
787.000000,1.661597
788.000000,1.660706
789.000000,1.660099
790.000000,1.659714
791.000000,1.658930
792.000000,1.658369
793.000000,1.657849
794.000000,1.657165
795.000000,1.656914
796.000000,1.656012
797.000000,1.655412
798.000000,1.654945
799.000000,1.654210
800.000000,1.654009
801.000000,1.653051
802.000000,1.652440
803.000000,1.651961
804.000000,1.651227
805.000000,1.650966
806.000000,1.650043
807.000000,1.649452
808.000000,1.648904
809.000000,1.648220
810.000000,1.647818
811.000000,1.647004
812.000000,1.646800
813.000000,1.645807
814.000000,1.645204
815.000000,1.644635
816.000000,1.643960
817.000000,1.643489
818.000000,1.642722
819.000000,1.642368
820.000000,1.641490
