Iteration,Log Error
173.0000,-5.8777749342928072
174.0000,-5.9660799490620287
175.0000,-5.9834931660276194
176.0000,-6.0665521657675088
177.0000,-6.1032215153984382
178.0000,-6.1265060542285212
179.0000,-6.1359564383350023
180.0000,-6.1382863714863660
181.0000,-6.1386318959818817
182.0000,-6.1407275322758030
183.0000,-6.1422001144511018
184.0000,-6.1443783783957242
185.0000,-6.1505140497240722
186.0000,-6.1597849140727892
187.0000,-6.1854409160167370
188.0000,-6.2068365934230032
189.0000,-6.2499765090844717
190.0000,-6.3137038499785172
191.0000,-6.3542159875486917
192.0000,-6.3579250587328904
193.0000,-6.3647797600641454
194.0000,-6.3660263403070880
195.0000,-6.3681474282824873
196.0000,-6.3688790476569848
197.0000,-6.3712403496654160
198.0000,-6.3727729788663847
199.0000,-6.3760891458519771
200.0000,-6.4069283333841796
201.0000,-6.5145143590838694
202.0000,-6.5852046145991920
203.0000,-6.8746988996196414
204.0000,-7.2253585031127114
205.0000,-7.7398639442336288
206.0000,-7.9227183933130121
207.0000,-8.3818129589662185
208.0000,-8.3856647471740740
209.0000,-8.6994303469940810
210.0000,-8.7865385638925382
211.0000,-8.7977268330320708
212.0000,-8.8082119875817284
213.0000,-8.8098012436989102
214.0000,-8.8111473169588717
215.0000,-8.8124183515435899
216.0000,-8.8177528167381158
217.0000,-8.8223213533119260
218.0000,-8.8264244779622256
219.0000,-8.8335286013117997
220.0000,-8.8393285012410932
221.0000,-8.8418644852664752
222.0000,-8.8556305407559233
223.0000,-8.8721803947092184
224.0000,-8.8761984490497063
225.0000,-8.8851231217696132
226.0000,-8.8882205672151073
227.0000,-8.8895698961766811
228.0000,-8.8908654971839827
229.0000,-8.8961627753858359
230.0000,-8.9005852069140392
231.0000,-8.9048783597111427
232.0000,-8.9069696334801147
233.0000,-8.9134076584556379
234.0000,-8.9261327929474188
235.0000,-8.9734718324923275
236.0000,-9.1285467568534671
237.0000,-9.3392940986306296
238.0000,-9.4137409567520596
239.0000,-9.4424975120496395
240.0000,-9.4480232753432674
241.0000,-9.4514941297581032
242.0000,-9.4526059052315770
243.0000,-9.4545879823680679
244.0000,-9.4590939811379489
245.0000,-9.4779479848079831
246.0000,-9.5292331335774314
247.0000,-9.6042326600849464
248.0000,-9.7245231834089481
249.0000,-9.8420802636420568
250.0000,-9.9165175398709184
251.0000,-10.0268978560130257
252.0000,-10.0343620992945421
253.0000,-10.0381040880619832
254.0000,-10.0399961811921283
255.0000,-10.0416665177099969
256.0000,-10.0451932702420592
257.0000,-10.0499093846203564
258.0000,-10.0604508805118478
259.0000,-10.0694120821605804
260.0000,-10.0887953606054008
261.0000,-10.1568744346753554
262.0000,-10.2519397162292396
263.0000,-10.3162545887847887
264.0000,-10.3410493690585579
265.0000,-10.4184849865403386
266.0000,-10.4565150881776798
267.0000,-10.4606801702297982
268.0000,-10.4681783576650087
269.0000,-10.4696151746832715
270.0000,-10.4706222970988616
271.0000,-10.4724010696960779
272.0000,-10.4750315712776914
273.0000,-10.4785953290602158
274.0000,-10.4862807850722639
275.0000,-10.4944659544606651
276.0000,-10.5311380258316909
277.0000,-10.5737400280059894
278.0000,-10.6616829995852278
279.0000,-10.7025717117923644
280.0000,-10.7109123879502839
281.0000,-10.7186250906356442
282.0000,-10.7208894124693721
283.0000,-10.7231537473009233
284.0000,-10.7251037458587462
285.0000,-10.7288486228004274
286.0000,-10.7338801092319152
287.0000,-10.7370664222151646
288.0000,-10.7416792768976581
289.0000,-10.7493493313382302
290.0000,-10.7651530417716934
291.0000,-10.7783895767771742
292.0000,-10.7883789123632159
293.0000,-10.7949634977119242
294.0000,-10.7970761092543590
295.0000,-10.8018642289744289
296.0000,-10.8208055315888672
297.0000,-10.8487407008409882
298.0000,-10.9042804083993676
299.0000,-11.0801233036073974
300.0000,-11.1846601067869926
301.0000,-11.2613693142144680
302.0000,-11.2715616870761330
303.0000,-11.2777021341386234
304.0000,-11.2801484259823983
305.0000,-11.2809308821134415
306.0000,-11.2830687687990086
307.0000,-11.2850142277126029
308.0000,-11.2871444171288946
309.0000,-11.2907289828931496
310.0000,-11.3067784327522780
311.0000,-11.3555055288914115
312.0000,-11.4245386205095834
313.0000,-11.4426761508467081
314.0000,-11.4525583209710184
315.0000,-11.4626580943815348
316.0000,-11.4714414599229890
317.0000,-11.4742807883921287
318.0000,-11.4763071124638891
319.0000,-11.4783491695952620
320.0000,-11.4822160189085309
321.0000,-11.4934919514896094
322.0000,-11.5275290618403545
323.0000,-11.6156597237965649
324.0000,-11.7773244991400308
325.0000,-12.0268282508331605
326.0000,-12.6278693845854963
327.0000,-12.8800680687160796
328.0000,-13.2043721296376155
329.0000,-13.4833559049590459
330.0000,-13.5608286757374259
331.0000,-13.5765559984524771
332.0000,-13.5862582668255829
333.0000,-13.5874953073259217
334.0000,-13.5894370856739481
335.0000,-13.5910073367347959
336.0000,-13.5935601798397805
337.0000,-13.5958744472142659
